问题,局序号,案例编码,完成时刻,源数,清除数,被清除比例,总时长_s,平均清除时长_秒每源
问题三,1,83ZW-KH8R-KJHE-PKT4,09-13 09:38:12,14,14,100.00%,3411.7,243.70
问题三,2,XK3H-JPB8-C9AU-XQK8,09-13 09:39:03,14,14,100.00%,3462.1,247.29
问题三,3,YYUW-N2CR-HWMN-XHTP,09-13 09:39:46,14,14,100.00%,3736.5,266.89
问题三,4,DHZB-ZAR5-6K46-UFXC,09-13 09:40:25,14,14,100.00%,3651.5,260.82
问题三,5,VRYC-JZ6N-DM8E-4RTR,09-13 09:41:03,11,11,100.00%,3571.8,324.71
问题三,6,ZBNP-WM4A-KSNA-PSG4,09-13 09:41:43,15,15,100.00%,3843.7,256.24
问题三,7,VWN9-4SFS-YF3G-PJ5F,09-13 09:42:21,14,14,100.00%,3313.0,236.64
问题三,8,SZKJ-4TSR-RHSQ-XHTW,09-13 09:43:01,12,12,100.00%,3264.7,272.06
问题三,9,SJSY-JZYM-F9CK-B446,09-13 09:43:49,10,10,100.00%,3116.7,311.67
问题三,10,P5MR-8PE6-HM5J-TN7H,09-13 09:44:30,16,16,100.00%,3426.4,214.15
问题三,11,N7SW-K97B-FVCK-3BCU,09-13 09:45:10,16,16,100.00%,3609.4,225.58
问题三,12,6XDB-R3XV-R8NR-RP2T,09-13 09:45:49,15,15,100.00%,3581.9,238.79
问题三,13,CK5Q-SRFM-VZ2Y-2QRK,09-13 09:46:26,12,12,100.00%,3468.3,289.02
问题三,14,3VSQ-F8D8-MRMC-FZWM,09-13 09:47:03,16,16,100.00%,3778.7,236.17
问题三,15,NAZ4-DGJZ-4A54-58VQ,09-13 09:47:40,13,13,100.00%,3621.7,278.59
问题三,16,MYKS-P9KU-398P-C5PM,09-13 09:48:15,16,16,100.00%,3988.5,249.28
问题三,17,4F37-H5NQ-CFPZ-4VGJ,09-13 09:48:51,11,11,100.00%,3037.5,276.14
问题三,18,MC5R-UT5S-RX3P-TNQZ,09-13 09:49:29,15,15,100.00%,3906.0,260.40
问题三,19,6QF9-H5DS-DNUQ-4PA6,09-13 09:50:14,16,16,100.00%,3825.6,239.10
问题三,20,JYY2-QBB9-HXQQ-99NF,09-13 09:51:11,13,13,100.00%,3805.4,292.72
问题三,21,8925-YN7S-8MSF-4SYG,09-13 13:28:27,11,11,100.00%,3466.0,315.10
问题三,22,XKV2-DAV4-SG4U-P7NP,09-13 13:28:58,16,16,100.00%,3727.5,232.97
问题三,23,9MV8-UUEQ-AHZ2-ETFP,09-13 13:29:37,13,13,100.00%,3440.1,264.62
问题三,24,9VDU-PDAV-2S3T-EUM7,09-13 13:30:13,12,12,100.00%,3331.0,277.58
问题三,25,9B93-22BD-W5ZY-NMFK,09-13 13:30:58,14,14,100.00%,3532.3,252.31
问题三,26,6GR6-667Q-2BRJ-5AUJ,09-13 13:31:46,15,15,100.00%,3737.5,249.17
问题三,27,EVH5-FZ8E-VNZ9-ZGGZ,09-13 13:32:38,15,15,100.00%,3841.5,256.10
问题三,28,N6XR-U6TX-JW6T-4GAZ,09-13 13:33:17,13,13,100.00%,3493.7,268.74
问题三,29,E32X-2RAF-TBYH-XHPP,09-13 13:34:02,11,11,100.00%,3840.8,349.16
问题三,30,X6GM-DVUV-6TD8-DPXC,09-13 13:34:54,15,15,100.00%,3638.9,242.60
问题三,合计(30局),—,—,412,412,100.00%,107470.2,260.85
问题四,1,SGY3-9HVH-YCPM-GGQF,09-13 12:56:54,13,13,100.00%,7053.4,542.57
问题四,2,FZTK-NP8J-S3GM-6TZA,09-13 12:58:58,13,13,100.00%,6917.3,532.10
