接收时间	指令	位置	频道	响应摘要	虚拟时间
12:02:22	进入	--	--	进入成功	0.000 s
12:02:22	测量	(0.00, 0.00)	1	示向度 154.18°	5.000 s
12:02:22	测量	(0.00, 0.00)	2	未检测到信号	11.000 s
12:02:22	测量	(0.00, 0.00)	3	未检测到信号	17.000 s
12:02:22	测量	(0.00, 0.00)	4	未检测到信号	23.000 s
12:02:22	测量	(0.00, 0.00)	5	未检测到信号	29.000 s
12:02:23	测量	(0.00, 0.00)	6	示向度 257.61°	35.000 s
12:02:23	测量	(0.00, 0.00)	7	未检测到信号	41.000 s
12:02:23	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
12:02:23	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
12:02:23	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
12:02:23	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
12:02:23	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
12:02:23	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
12:02:23	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
12:02:23	测量	(0.00, 0.00)	15	未检测到信号	89.000 s
12:02:23	测量	(0.00, 0.00)	16	示向度 291.70°	95.000 s
12:02:23	测量	(0.00, 0.00)	17	未检测到信号	101.000 s
12:02:23	测量	(0.00, 0.00)	18	示向度 286.12°	107.000 s
12:02:23	测量	(0.00, 0.00)	19	示向度 190.87°	113.000 s
12:02:23	测量	(0.00, 0.00)	20	示向度 205.89°	119.000 s
12:02:24	测量	(-125.00, 216.51)	20	示向度 225.77°	174.000 s
12:02:24	测量	(-125.00, 216.51)	1	示向度 167.15°	180.000 s
12:02:24	测量	(-125.00, 216.51)	2	未检测到信号	186.000 s
12:02:24	测量	(-125.00, 216.51)	3	未检测到信号	192.000 s
12:02:24	测量	(-125.00, 216.51)	4	未检测到信号	198.000 s
12:02:24	测量	(-125.00, 216.51)	6	示向度 271.83°	204.000 s
12:02:24	测量	(-125.00, 216.51)	16	示向度 293.52°	210.000 s
12:02:24	测量	(-125.00, 216.51)	18	示向度 295.11°	216.000 s
12:02:24	测量	(-125.00, 216.51)	19	示向度 211.54°	222.000 s
