16个全向干扰源
接收时间	指令	位置	频道	响应摘要	虚拟时间
12:13:34	进入	--	--	进入成功	0.000 s
12:13:34	测量	(0.00, 0.00)	1	示向度 326.64°	5.000 s
12:13:34	测量	(0.00, 0.00)	2	示向度 287.92°	11.000 s
12:13:34	测量	(0.00, 0.00)	3	未检测到信号	17.000 s
12:13:34	测量	(0.00, 0.00)	4	示向度 171.39°	23.000 s
12:13:34	测量	(0.00, 0.00)	5	未检测到信号	29.000 s
12:13:34	测量	(0.00, 0.00)	6	未检测到信号	35.000 s
12:13:34	测量	(0.00, 0.00)	7	未检测到信号	41.000 s
12:13:34	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
12:13:34	测量	(0.00, 0.00)	9	示向度 286.30°	53.000 s
12:13:34	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
12:13:34	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
12:13:34	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
12:13:34	测量	(0.00, 0.00)	13	示向度 27.67°	77.000 s
12:13:34	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
12:13:34	测量	(0.00, 0.00)	15	未检测到信号	89.000 s
12:13:34	测量	(0.00, 0.00)	16	未检测到信号	95.000 s
12:13:34	测量	(0.00, 0.00)	17	示向度 188.08°	101.000 s
12:13:34	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
12:13:34	测量	(0.00, 0.00)	19	示向度 157.07°	113.000 s
12:13:34	测量	(0.00, 0.00)	20	示向度 301.98°	119.000 s
12:13:35	测量	(-216.51, 125.00)	20	示向度 310.39°	174.000 s
12:13:35	测量	(-216.51, 125.00)	1	示向度 327.61°	180.000 s
12:13:35	测量	(-216.51, 125.00)	2	示向度 296.07°	186.000 s
12:13:35	测量	(-216.51, 125.00)	3	未检测到信号	192.000 s
12:13:35	测量	(-216.51, 125.00)	4	示向度 177.35°	198.000 s
12:13:35	测量	(-216.51, 125.00)	5	未检测到信号	204.000 s
12:13:35	测量	(-216.51, 125.00)	6	未检测到信号	210.000 s
12:13:35	测量	(-216.51, 125.00)	9	示向度 300.16°	216.000 s
12:13:35	测量	(-216.51, 125.00)	13	示向度 13.01°	222.000 s
12:13:35	测量	(-216.51, 125.00)	17	示向度 201.87°	228.000 s
12:13:35	测量	(-216.51, 125.00)	19	示向度 159.02°	234.000 s
12:13:36	测量	(-716.51, 125.00)	19	示向度 136.33°	339.000 s
12:13:36	测量	(-716.51, 125.00)	1	未检测到信号	345.000 s
12:13:36	测量	(-716.51, 125.00)	4	示向度 174.69°	351.000 s
12:13:36	测量	(-716.51, 125.00)	7	未检测到信号	357.000 s
12:13:36	测量	(-716.51, 125.00)	8	未检测到信号	363.000 s
12:13:36	测量	(-716.51, 125.00)	9	示向度 323.69°	369.000 s
12:13:36	测量	(-716.51, 125.00)	10	未检测到信号	375.000 s
12:13:36	测量	(-716.51, 125.00)	17	示向度 240.88°	381.000 s
12:13:36	测量	(-841.51, -91.51)	17	示向度 241.00°	436.000 s
12:13:36	测量	(-841.51, -91.51)	4	示向度 128.96°	442.000 s
12:13:37	测量	(-841.51, -91.51)	11	未检测到信号	448.000 s
12:13:37	测量	(-841.51, -91.51)	12	未检测到信号	454.000 s
12:13:37	测量	(-841.51, -91.51)	14	未检测到信号	460.000 s
12:13:37	测量	(-841.51, -91.51)	19	示向度 111.60°	466.000 s
12:13:37	测量	(-860.00, -125.00)	19	示向度 108.51°	478.652 s
12:13:37	测量	(-860.00, -125.00)	4	示向度 122.71°	484.652 s
12:13:37	测量	(-860.00, -125.00)	15	未检测到信号	490.652 s
12:13:37	测量	(-860.00, -125.00)	16	未检测到信号	496.652 s
12:13:37	测量	(-860.00, -125.00)	17	距离过近	502.652 s
12:13:37	测量	(-860.00, -125.00)	18	未检测到信号	508.652 s
12:13:37	清除	(-860.00, -125.00)	17	清除成功	513.652 s
12:13:38	测量	(-985.00, 91.51)	3	未检测到信号	569.652 s
12:13:38	测量	(-985.00, 91.51)	4	示向度 132.16°	575.652 s
12:13:38	测量	(-985.00, 91.51)	5	未检测到信号	581.652 s
12:13:38	测量	(-985.00, 91.51)	6	未检测到信号	587.652 s
12:13:38	测量	(-985.00, 91.51)	19	示向度 100.55°	593.652 s
12:13:39	测量	(-1045.00, 160.00)	19	示向度 90.88°	616.863 s
12:13:39	测量	(-1045.00, 160.00)	4	距离过近	622.863 s
12:13:39	测量	(-1045.00, 160.00)	15	未检测到信号	628.863 s
12:13:39	测量	(-1045.00, 160.00)	16	未检测到信号	634.863 s
12:13:39	测量	(-1045.00, 160.00)	18	未检测到信号	640.863 s
12:13:39	清除	(-1045.00, 160.00)	4	清除成功	645.863 s
12:13:39	测量	(-1045.00, 410.00)	11	未检测到信号	701.863 s
12:13:39	测量	(-1045.00, 410.00)	12	未检测到信号	707.863 s
12:13:39	测量	(-1045.00, 410.00)	14	未检测到信号	713.863 s
12:13:39	测量	(-1045.00, 410.00)	19	示向度 106.62°	719.863 s
12:13:40	测量	(-1055.00, 450.00)	19	示向度 278.65°	733.110 s
12:13:40	测量	(-1055.00, 450.00)	7	未检测到信号	739.110 s
12:13:40	测量	(-1055.00, 450.00)	8	未检测到信号	745.110 s
12:13:40	测量	(-1055.00, 450.00)	10	未检测到信号	751.110 s
12:13:40	清除	(-1055.00, 450.00)	19	清除成功	756.110 s
12:13:41	测量	(-838.49, 325.00)	3	未检测到信号	812.110 s
12:13:41	测量	(-838.49, 325.00)	5	未检测到信号	818.110 s
12:13:41	测量	(-838.49, 325.00)	6	未检测到信号	824.110 s
12:13:41	测量	(-838.49, 325.00)	9	示向度 319.07°	830.110 s
12:13:42	测量	(-621.99, 200.00)	9	示向度 316.51°	885.110 s
12:13:42	测量	(-621.99, 200.00)	1	未检测到信号	891.110 s
12:13:42	测量	(-621.99, 200.00)	15	未检测到信号	897.110 s
12:13:42	测量	(-621.99, 200.00)	16	未检测到信号	903.110 s
12:13:42	测量	(-621.99, 200.00)	18	未检测到信号	909.110 s
12:13:42	测量	(-621.99, 200.00)	20	示向度 324.00°	915.110 s
12:13:43	测量	(-496.99, -16.51)	20	示向度 330.92°	970.110 s
12:13:43	测量	(-496.99, -16.51)	1	示向度 343.38°	976.110 s
12:13:43	测量	(-496.99, -16.51)	2	示向度 313.80°	982.110 s
12:13:43	测量	(-496.99, -16.51)	7	未检测到信号	988.110 s
12:13:43	测量	(-496.99, -16.51)	8	未检测到信号	994.110 s
12:13:43	测量	(-496.99, -16.51)	9	示向度 322.54°	1000.110 s
12:13:43	测量	(-496.99, -16.51)	10	未检测到信号	1006.110 s
12:13:44	测量	(-280.48, -141.51)	1	示向度 348.59°	1062.110 s
12:13:44	测量	(-280.48, -141.51)	2	示向度 309.68°	1068.110 s
12:13:44	测量	(-280.48, -141.51)	3	未检测到信号	1074.110 s
12:13:44	测量	(-280.48, -141.51)	5	未检测到信号	1080.110 s
12:13:44	测量	(-280.48, -141.51)	6	未检测到信号	1086.110 s
12:13:44	测量	(-280.48, -141.51)	9	示向度 319.46°	1092.110 s
12:13:44	测量	(-280.48, -141.51)	13	示向度 27.12°	1098.110 s
12:13:44	测量	(-280.48, -141.51)	20	示向度 332.21°	1104.110 s
12:13:44	测量	(-155.48, -358.01)	20	示向度 350.34°	1159.110 s
12:13:44	测量	(-155.48, -358.01)	1	示向度 6.29°	1165.110 s
12:13:44	测量	(-155.48, -358.01)	2	示向度 312.16°	1171.110 s
12:13:44	测量	(-155.48, -358.01)	7	示向度 276.06°	1177.110 s
12:13:44	测量	(-155.48, -358.01)	8	未检测到信号	1183.110 s
12:13:44	测量	(-155.48, -358.01)	9	示向度 331.60°	1189.110 s
12:13:44	测量	(-155.48, -358.01)	10	示向度 259.63°	1195.110 s
12:13:44	测量	(-155.48, -358.01)	13	示向度 40.67°	1201.110 s
12:13:45	测量	(61.03, -483.01)	13	示向度 54.67°	1256.110 s
12:13:45	测量	(61.03, -483.01)	1	示向度 25.92°	1262.110 s
12:13:45	测量	(61.03, -483.01)	2	示向度 301.06°	1268.110 s
12:13:45	测量	(61.03, -483.01)	7	示向度 260.91°	1274.110 s
12:13:45	测量	(61.03, -483.01)	9	示向度 336.67°	1280.110 s
12:13:45	测量	(61.03, -483.01)	10	示向度 248.00°	1286.110 s
12:13:45	测量	(61.03, -483.01)	11	未检测到信号	1292.110 s
12:13:45	测量	(61.03, -483.01)	12	未检测到信号	1298.110 s
12:13:45	测量	(61.03, -483.01)	14	未检测到信号	1304.110 s
12:13:45	测量	(61.03, -483.01)	20	示向度 15.58°	1310.110 s
12:13:46	测量	(155.00, -525.00)	20	示向度 41.98°	1335.695 s
12:13:46	测量	(155.00, -525.00)	1	示向度 37.63°	1341.695 s
12:13:46	测量	(155.00, -525.00)	2	示向度 287.90°	1347.695 s
12:13:46	测量	(155.00, -525.00)	7	示向度 254.11°	1353.695 s
12:13:46	测量	(155.00, -525.00)	9	示向度 338.12°	1359.695 s
12:13:46	测量	(155.00, -525.00)	10	示向度 242.27°	1365.695 s
12:13:47	测量	(155.00, -525.00)	13	示向度 61.10°	1371.695 s
12:13:47	测量	(155.00, -525.00)	15	示向度 237.67°	1377.695 s
12:13:47	测量	(155.00, -525.00)	16	未检测到信号	1383.695 s
12:13:47	测量	(155.00, -525.00)	18	未检测到信号	1389.695 s
12:13:47	清除	(155.00, -525.00)	9	清除成功	1394.695 s
12:13:48	测量	(212.56, -467.44)	1	示向度 36.10°	1416.975 s
12:13:48	测量	(212.56, -467.44)	2	示向度 275.11°	1422.975 s
12:13:48	测量	(212.56, -467.44)	3	未检测到信号	1428.975 s
12:13:48	测量	(212.56, -467.44)	5	未检测到信号	1434.975 s
12:13:48	测量	(212.56, -467.44)	6	未检测到信号	1440.975 s
12:13:48	测量	(212.56, -467.44)	7	示向度 252.07°	1446.975 s
12:13:48	测量	(212.56, -467.44)	13	示向度 62.21°	1452.975 s
12:13:48	测量	(212.56, -467.44)	15	示向度 236.77°	1458.975 s
12:13:48	测量	(212.56, -467.44)	20	示向度 38.52°	1464.975 s
12:13:48	测量	(260.00, -425.00)	20	距离过近	1482.706 s
12:13:48	测量	(260.00, -425.00)	1	示向度 34.44°	1488.706 s
12:13:48	测量	(260.00, -425.00)	2	示向度 266.80°	1494.706 s
12:13:48	测量	(260.00, -425.00)	7	示向度 250.22°	1500.706 s
12:13:48	测量	(260.00, -425.00)	8	未检测到信号	1506.706 s
12:13:48	测量	(260.00, -425.00)	11	未检测到信号	1512.706 s
12:13:48	测量	(260.00, -425.00)	12	未检测到信号	1518.706 s
12:13:48	测量	(260.00, -425.00)	13	示向度 62.99°	1524.706 s
12:13:48	测量	(260.00, -425.00)	15	示向度 235.64°	1530.706 s
12:13:49	清除	(260.00, -425.00)	20	清除成功	1535.706 s
12:13:49	测量	(450.00, -295.00)	15	未检测到信号	1586.750 s
12:13:49	测量	(450.00, -295.00)	1	距离过近	1592.750 s
12:13:49	测量	(450.00, -295.00)	2	示向度 248.21°	1598.750 s
12:13:49	测量	(450.00, -295.00)	13	示向度 74.19°	1604.750 s
12:13:49	测量	(450.00, -295.00)	14	示向度 27.56°	1610.750 s
12:13:49	测量	(450.00, -295.00)	16	未检测到信号	1616.750 s
12:13:49	测量	(450.00, -295.00)	18	未检测到信号	1622.750 s
12:13:49	清除	(450.00, -295.00)	1	清除成功	1627.750 s
12:13:50	测量	(325.00, -511.51)	2	示向度 253.39°	1683.750 s
12:13:50	测量	(325.00, -511.51)	3	未检测到信号	1689.750 s
12:13:50	测量	(325.00, -511.51)	5	未检测到信号	1695.750 s
12:13:50	测量	(325.00, -511.51)	6	未检测到信号	1701.750 s
12:13:50	测量	(325.00, -511.51)	7	示向度 244.02°	1707.750 s
12:13:50	测量	(325.00, -511.51)	13	示向度 69.27°	1713.750 s
12:13:50	测量	(325.00, -511.51)	14	示向度 33.03°	1719.750 s
12:13:50	测量	(325.00, -511.51)	15	示向度 231.46°	1725.750 s
12:13:51	测量	(325.00, -761.51)	15	示向度 224.15°	1780.750 s
12:13:51	测量	(325.00, -761.51)	2	示向度 200.48°	1786.750 s
12:13:51	测量	(325.00, -761.51)	7	示向度 232.57°	1792.750 s
12:13:51	测量	(325.00, -761.51)	8	未检测到信号	1798.750 s
12:13:51	测量	(325.00, -761.51)	10	示向度 228.51°	1804.750 s
12:13:51	测量	(325.00, -761.51)	11	示向度 330.68°	1810.750 s
12:13:51	测量	(325.00, -761.51)	12	未检测到信号	1816.750 s
12:13:51	测量	(252.07, -795.00)	2	示向度 159.28°	1838.800 s
12:13:52	测量	(252.07, -795.00)	3	未检测到信号	1844.800 s
12:13:52	测量	(252.07, -795.00)	5	未检测到信号	1850.800 s
12:13:52	测量	(252.07, -795.00)	6	未检测到信号	1856.800 s
12:13:52	测量	(252.07, -795.00)	7	示向度 236.75°	1862.800 s
12:13:52	测量	(252.07, -795.00)	10	示向度 230.34°	1868.800 s
12:13:52	测量	(252.07, -795.00)	11	示向度 334.56°	1874.800 s
12:13:52	测量	(252.07, -795.00)	15	示向度 225.60°	1880.800 s
12:13:52	清除	(252.07, -795.00)	2	清除成功	1885.800 s
12:13:52	测量	(2.07, -1228.01)	15	示向度 217.18°	1990.800 s
12:13:52	测量	(2.07, -1228.01)	7	示向度 220.25°	1996.800 s
12:13:52	测量	(2.07, -1228.01)	10	示向度 219.03°	2002.800 s
12:13:52	测量	(2.07, -1228.01)	11	未检测到信号	2008.800 s
12:13:52	测量	(2.07, -1228.01)	12	未检测到信号	2014.800 s
12:13:52	测量	(2.07, -1228.01)	16	未检测到信号	2020.800 s
12:13:52	测量	(2.07, -1228.01)	18	未检测到信号	2026.800 s
12:13:53	测量	(-60.00, -1285.00)	3	未检测到信号	2049.653 s
12:13:53	测量	(-60.00, -1285.00)	5	示向度 179.71°	2055.653 s
12:13:53	测量	(-60.00, -1285.00)	7	距离过近	2061.653 s
12:13:53	测量	(-60.00, -1285.00)	8	未检测到信号	2067.653 s
12:13:53	测量	(-60.00, -1285.00)	10	示向度 218.80°	2073.653 s
12:13:53	测量	(-60.00, -1285.00)	15	示向度 215.88°	2079.653 s
12:13:53	清除	(-60.00, -1285.00)	7	清除成功	2084.653 s
12:13:54	测量	(-185.00, -1501.51)	15	示向度 199.54°	2139.653 s
