10个全向干扰源
12:17:58	进入	--	--	进入成功	0.000 s
12:17:58	测量	(0.00, 0.00)	1	未检测到信号	5.000 s
12:17:58	测量	(0.00, 0.00)	2	示向度 229.28°	11.000 s
12:17:58	测量	(0.00, 0.00)	3	未检测到信号	17.000 s
12:17:58	测量	(0.00, 0.00)	4	示向度 160.38°	23.000 s
12:17:58	测量	(0.00, 0.00)	5	未检测到信号	29.000 s
12:17:58	测量	(0.00, 0.00)	6	未检测到信号	35.000 s
12:17:58	测量	(0.00, 0.00)	7	未检测到信号	41.000 s
12:17:58	测量	(0.00, 0.00)	8	示向度 88.22°	47.000 s
12:17:58	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
12:17:58	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
12:17:58	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
12:17:58	测量	(0.00, 0.00)	12	示向度 74.24°	71.000 s
12:17:58	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
12:17:58	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
12:17:58	测量	(0.00, 0.00)	15	示向度 345.81°	89.000 s
12:17:58	测量	(0.00, 0.00)	16	未检测到信号	95.000 s
12:17:58	测量	(0.00, 0.00)	17	未检测到信号	101.000 s
12:17:58	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
12:17:58	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
12:17:58	测量	(0.00, 0.00)	20	未检测到信号	119.000 s
12:17:59	测量	(-250.00, 0.00)	1	未检测到信号	175.000 s
12:17:59	测量	(-250.00, 0.00)	2	示向度 240.13°	181.000 s
12:17:59	测量	(-250.00, 0.00)	3	未检测到信号	187.000 s
12:17:59	测量	(-250.00, 0.00)	4	示向度 156.40°	193.000 s
12:17:59	测量	(-250.00, 0.00)	5	示向度 195.67°	199.000 s
12:17:59	测量	(-250.00, 0.00)	8	示向度 74.79°	205.000 s
12:17:59	测量	(-250.00, 0.00)	12	示向度 65.57°	211.000 s
12:17:59	测量	(-250.00, 0.00)	15	示向度 351.01°	217.000 s
12:18:00	测量	(-500.00, 0.00)	15	示向度 354.05°	272.000 s
12:18:00	测量	(-500.00, 0.00)	2	示向度 253.53°	278.000 s
12:18:00	测量	(-500.00, 0.00)	4	示向度 147.33°	284.000 s
12:18:00	测量	(-500.00, 0.00)	5	示向度 199.05°	290.000 s
12:18:00	测量	(-500.00, 0.00)	6	未检测到信号	296.000 s
12:18:00	测量	(-500.00, 0.00)	7	未检测到信号	302.000 s
12:18:00	测量	(-500.00, 0.00)	9	未检测到信号	308.000 s
12:18:01	测量	(-933.01, 250.00)	4	示向度 144.35°	414.000 s
12:18:01	测量	(-933.01, 250.00)	5	示向度 227.50°	420.000 s
12:18:01	测量	(-933.01, 250.00)	10	未检测到信号	426.000 s
12:18:01	测量	(-933.01, 250.00)	11	未检测到信号	432.000 s
12:18:01	测量	(-933.01, 250.00)	13	未检测到信号	438.000 s
12:18:02	测量	(-1058.01, 466.51)	4	示向度 229.61°	494.000 s
12:18:02	测量	(-1058.01, 466.51)	5	示向度 242.68°	500.000 s
12:18:02	测量	(-1058.01, 466.51)	14	未检测到信号	506.000 s
12:18:02	测量	(-1058.01, 466.51)	16	示向度 196.79°	512.000 s
12:18:02	测量	(-1058.01, 466.51)	17	未检测到信号	518.000 s
12:18:03	测量	(-1098.14, 426.38)	4	示向度 234.69°	535.349 s
12:18:03	测量	(-1098.14, 426.38)	5	示向度 243.97°	541.349 s
12:18:03	测量	(-1098.14, 426.38)	16	示向度 194.23°	547.349 s
12:18:03	测量	(-1098.14, 426.38)	18	未检测到信号	553.349 s
12:18:03	测量	(-1098.14, 426.38)	19	未检测到信号	559.349 s
12:18:03	测量	(-1098.14, 426.38)	20	未检测到信号	565.349 s
12:18:04	测量	(-1117.74, 406.78)	1	未检测到信号	576.892 s
12:18:04	测量	(-1117.74, 406.78)	3	未检测到信号	582.892 s
12:18:04	测量	(-1117.74, 406.78)	4	示向度 248.66°	588.892 s
12:18:04	测量	(-1117.74, 406.78)	5	示向度 244.68°	594.892 s
12:18:04	测量	(-1117.74, 406.78)	6	未检测到信号	600.892 s
12:18:05	测量	(-1117.74, 406.78)	16	示向度 192.81°	606.892 s
12:18:06	测量	(-1125.00, 390.00)	16	示向度 191.11°	615.550 s
12:18:06	测量	(-1125.00, 390.00)	4	距离过近	621.550 s
12:18:06	测量	(-1125.00, 390.00)	5	示向度 244.66°	627.550 s
12:18:06	测量	(-1125.00, 390.00)	7	未检测到信号	633.550 s
12:18:06	测量	(-1125.00, 390.00)	9	未检测到信号	639.550 s
12:18:06	测量	(-1125.00, 390.00)	10	未检测到信号	645.550 s
12:18:06	清除	(-1125.00, 390.00)	4	清除成功	650.550 s
12:18:06	测量	(-1375.00, 390.00)	5	示向度 264.10°	706.550 s
12:18:06	测量	(-1375.00, 390.00)	11	未检测到信号	712.550 s
12:18:06	测量	(-1375.00, 390.00)	14	未检测到信号	718.550 s
12:18:07	测量	(-1375.00, 390.00)	16	示向度 200.92°	724.550 s
12:18:07	测量	(-1375.00, 390.00)	17	未检测到信号	730.550 s
12:18:07	测量	(-1591.51, 265.00)	5	示向度 283.47°	786.550 s
12:18:07	测量	(-1591.51, 265.00)	16	示向度 141.77°	792.550 s
12:18:07	测量	(-1591.51, 265.00)	18	未检测到信号	798.550 s
12:18:07	测量	(-1591.51, 265.00)	19	未检测到信号	804.550 s
12:18:07	测量	(-1591.51, 265.00)	20	未检测到信号	810.550 s
12:18:08	测量	(-1630.00, 295.00)	1	未检测到信号	826.310 s
12:18:08	测量	(-1630.00, 295.00)	3	未检测到信号	832.310 s
12:18:08	测量	(-1630.00, 295.00)	5	示向度 286.00°	838.310 s
12:18:08	测量	(-1630.00, 295.00)	6	未检测到信号	844.310 s
12:18:08	测量	(-1630.00, 295.00)	16	示向度 322.73°	850.310 s
12:18:08	清除	(-1630.00, 295.00)	16	清除成功	855.310 s
12:18:09	测量	(-1505.00, 78.49)	5	示向度 278.41°	911.310 s
12:18:09	测量	(-1505.00, 78.49)	7	未检测到信号	917.310 s
12:18:09	测量	(-1505.00, 78.49)	14	未检测到信号	923.310 s
12:18:09	测量	(-1505.00, 78.49)	17	未检测到信号	929.310 s
12:18:10	测量	(-1505.00, -171.51)	5	示向度 290.96°	985.310 s
12:18:10	测量	(-1505.00, -171.51)	13	未检测到信号	991.310 s
12:18:10	测量	(-1505.00, -171.51)	18	未检测到信号	997.310 s
12:18:10	测量	(-1505.00, -171.51)	19	未检测到信号	1003.310 s
12:18:11	测量	(-1455.00, -325.00)	2	示向度 322.35°	1041.597 s
12:18:11	测量	(-1455.00, -325.00)	5	示向度 43.28°	1047.597 s
12:18:11	测量	(-1455.00, -325.00)	10	未检测到信号	1053.597 s
12:18:11	测量	(-1455.00, -325.00)	11	未检测到信号	1059.597 s
12:18:11	测量	(-1455.00, -325.00)	20	未检测到信号	1065.597 s
12:18:11	清除	(-1455.00, -325.00)	5	清除成功	1070.597 s
12:18:12	测量	(-1238.49, -450.00)	1	未检测到信号	1126.597 s
12:18:12	测量	(-1238.49, -450.00)	2	示向度 319.50°	1132.597 s
12:18:12	测量	(-1238.49, -450.00)	3	未检测到信号	1138.597 s
12:18:12	测量	(-1238.49, -450.00)	9	未检测到信号	1144.597 s
12:18:12	测量	(-1021.99, -575.00)	2	示向度 312.41°	1200.597 s
12:18:12	测量	(-1021.99, -575.00)	6	未检测到信号	1206.597 s
12:18:12	测量	(-1021.99, -575.00)	14	未检测到信号	1212.597 s
12:18:12	测量	(-1021.99, -575.00)	17	未检测到信号	1218.597 s
12:18:13	测量	(-896.99, -791.51)	2	示向度 330.88°	1274.597 s
12:18:13	测量	(-896.99, -791.51)	7	未检测到信号	1280.597 s
12:18:13	测量	(-896.99, -791.51)	13	未检测到信号	1286.597 s
12:18:13	测量	(-896.99, -791.51)	18	未检测到信号	1292.597 s
12:18:14	测量	(-755.00, -875.00)	2	示向度 130.13°	1331.540 s
12:18:14	测量	(-755.00, -875.00)	10	未检测到信号	1337.540 s
12:18:14	测量	(-755.00, -875.00)	11	未检测到信号	1343.540 s
12:18:14	测量	(-755.00, -875.00)	19	未检测到信号	1349.540 s
12:18:14	清除	(-755.00, -875.00)	2	清除成功	1354.540 s
12:18:15	测量	(-538.49, -750.00)	1	未检测到信号	1410.540 s
12:18:15	测量	(-538.49, -750.00)	9	未检测到信号	1416.540 s
12:18:15	测量	(-538.49, -750.00)	15	未检测到信号	1422.540 s
12:18:15	测量	(-538.49, -750.00)	20	未检测到信号	1428.540 s
12:18:16	测量	(-105.48, -500.00)	3	未检测到信号	1534.540 s
12:18:16	测量	(-105.48, -500.00)	6	未检测到信号	1540.540 s
12:18:16	测量	(-105.48, -500.00)	14	未检测到信号	1546.540 s
12:18:16	测量	(-105.48, -500.00)	15	示向度 34.91°	1552.540 s
12:18:16	测量	(327.53, -250.00)	15	示向度 48.91°	1657.540 s
12:18:16	测量	(327.53, -250.00)	7	未检测到信号	1663.540 s
12:18:16	测量	(327.53, -250.00)	13	未检测到信号	1669.540 s
12:18:16	测量	(327.53, -250.00)	17	示向度 45.11°	1675.540 s
12:18:17	测量	(398.50, -179.04)	17	示向度 46.26°	1700.612 s
12:18:17	测量	(398.50, -179.04)	10	未检测到信号	1706.612 s
12:18:17	测量	(398.50, -179.04)	11	未检测到信号	1712.612 s
12:18:17	测量	(398.50, -179.04)	15	示向度 54.66°	1718.612 s
12:18:17	测量	(398.50, -179.04)	18	未检测到信号	1724.612 s
12:18:19	测量	(445.00, -110.00)	1	未检测到信号	1747.260 s
12:18:19	测量	(445.00, -110.00)	9	未检测到信号	1753.260 s
12:18:19	测量	(445.00, -110.00)	15	距离过近	1759.260 s
12:18:19	测量	(445.00, -110.00)	17	示向度 45.43°	1765.260 s
12:18:19	测量	(445.00, -110.00)	19	未检测到信号	1771.260 s
12:18:19	清除	(445.00, -110.00)	15	清除成功	1776.260 s
12:18:19	测量	(878.01, 140.00)	3	未检测到信号	1882.260 s
12:18:19	测量	(878.01, 140.00)	6	未检测到信号	1888.260 s
12:18:19	测量	(878.01, 140.00)	17	示向度 67.00°	1894.260 s
12:18:19	测量	(878.01, 140.00)	20	未检测到信号	1900.260 s
12:18:20	测量	(1003.01, 356.51)	7	未检测到信号	1956.260 s
12:18:20	测量	(1003.01, 356.51)	13	未检测到信号	1962.260 s
12:18:20	测量	(1003.01, 356.51)	14	未检测到信号	1968.260 s
12:18:20	测量	(1003.01, 356.51)	17	示向度 82.08°	1974.260 s
12:18:21	测量	(1020.00, 465.00)	17	示向度 246.23°	2001.223 s
12:18:21	测量	(1020.00, 465.00)	10	未检测到信号	2007.223 s
12:18:21	测量	(1020.00, 465.00)	11	未检测到信号	2013.223 s
12:18:21	测量	(1020.00, 465.00)	12	示向度 126.30°	2019.223 s
12:18:21	测量	(1020.00, 465.00)	18	示向度 80.30°	2025.223 s
12:18:21	清除	(1020.00, 465.00)	17	清除成功	2030.223 s
12:18:22	测量	(1145.00, 681.51)	18	示向度 90.02°	2085.223 s
12:18:22	测量	(1145.00, 681.51)	1	未检测到信号	2091.223 s
12:18:22	测量	(1145.00, 681.51)	9	未检测到信号	2097.223 s
12:18:22	测量	(1145.00, 681.51)	12	示向度 139.13°	2103.223 s
12:18:22	测量	(1145.00, 681.51)	19	未检测到信号	2109.223 s
12:18:22	测量	(1270.00, 898.01)	3	未检测到信号	2165.223 s
12:18:22	测量	(1270.00, 898.01)	6	未检测到信号	2171.223 s
12:18:22	测量	(1270.00, 898.01)	12	示向度 152.54°	2177.223 s
12:18:22	测量	(1270.00, 898.01)	18	示向度 113.55°	2183.223 s
12:18:22	测量	(1270.00, 898.01)	20	未检测到信号	2189.223 s
12:18:23	测量	(1145.00, 1114.52)	7	未检测到信号	2245.223 s
12:18:23	测量	(1145.00, 1114.52)	12	示向度 163.04°	2251.223 s
12:18:23	测量	(1145.00, 1114.52)	13	未检测到信号	2257.223 s
12:18:23	测量	(1145.00, 1114.52)	14	未检测到信号	2263.223 s
12:18:23	测量	(1145.00, 1114.52)	18	示向度 89.64°	2269.223 s
12:18:23	测量	(1145.00, 1185.00)	18	距离过近	2288.319 s
