全向13个
接收时间	指令	位置	频道	响应摘要	虚拟时间
16:31:38	进入	--	--	进入成功	0.000 s
16:31:38	测量	(0.00, 0.00)	1	未检测到信号	5.000 s
16:31:38	测量	(0.00, 0.00)	2	未检测到信号	11.000 s
16:31:38	测量	(0.00, 0.00)	3	示向度 350.19°	17.000 s
16:31:38	测量	(0.00, 0.00)	4	未检测到信号	23.000 s
16:31:38	测量	(0.00, 0.00)	5	未检测到信号	29.000 s
16:31:38	测量	(0.00, 0.00)	6	未检测到信号	35.000 s
16:31:38	测量	(0.00, 0.00)	7	示向度 146.79°	41.000 s
16:31:38	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
16:31:38	测量	(0.00, 0.00)	9	示向度 25.81°	53.000 s
16:31:38	测量	(0.00, 0.00)	10	示向度 297.04°	59.000 s
16:31:38	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
16:31:38	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
16:31:38	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
16:31:38	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
16:31:38	测量	(0.00, 0.00)	15	未检测到信号	89.000 s
16:31:38	测量	(0.00, 0.00)	16	未检测到信号	95.000 s
16:31:38	测量	(0.00, 0.00)	17	未检测到信号	101.000 s
16:31:38	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
16:31:38	测量	(0.00, 0.00)	19	示向度 123.50°	113.000 s
16:31:38	测量	(0.00, 0.00)	20	未检测到信号	119.000 s
16:31:39	测量	(125.00, 216.51)	1	未检测到信号	175.000 s
16:31:39	测量	(125.00, 216.51)	2	未检测到信号	181.000 s
16:31:39	测量	(125.00, 216.51)	3	示向度 337.43°	187.000 s
16:31:39	测量	(125.00, 216.51)	4	未检测到信号	193.000 s
16:31:39	测量	(125.00, 216.51)	7	示向度 164.59°	199.000 s
16:31:39	测量	(125.00, 216.51)	9	示向度 11.13°	205.000 s
16:31:39	测量	(125.00, 216.51)	10	示向度 280.60°	211.000 s
16:31:39	测量	(125.00, 216.51)	19	示向度 157.05°	217.000 s
16:31:40	测量	(-91.51, 341.51)	19	示向度 167.90°	272.000 s
16:31:40	测量	(-91.51, 341.51)	5	未检测到信号	278.000 s
16:31:40	测量	(-91.51, 341.51)	6	未检测到信号	284.000 s
16:31:40	测量	(-91.51, 341.51)	7	示向度 170.36°	290.000 s
16:31:40	测量	(-91.51, 341.51)	8	未检测到信号	296.000 s
16:31:40	测量	(-91.51, 341.51)	9	示向度 359.69°	302.000 s
16:31:40	测量	(-91.51, 341.51)	10	示向度 292.57°	308.000 s
16:31:41	测量	(-250.00, 380.00)	10	示向度 299.94°	345.620 s
16:31:41	测量	(-250.00, 380.00)	7	示向度 172.51°	351.620 s
16:31:41	测量	(-250.00, 380.00)	9	示向度 357.58°	357.620 s
16:31:41	测量	(-250.00, 380.00)	11	未检测到信号	363.620 s
16:31:41	测量	(-250.00, 380.00)	12	示向度 128.92°	369.620 s
16:31:41	测量	(-250.00, 380.00)	13	未检测到信号	375.620 s
16:31:41	测量	(-250.00, 380.00)	19	示向度 202.37°	381.620 s
16:31:41	清除	(-250.00, 380.00)	19	清除成功	386.620 s
16:31:42	测量	(-466.51, 505.00)	7	示向度 200.66°	442.620 s
16:31:42	测量	(-466.51, 505.00)	12	示向度 123.37°	448.620 s
16:31:42	测量	(-466.51, 505.00)	14	示向度 151.29°	454.620 s
16:31:42	测量	(-466.51, 505.00)	15	未检测到信号	460.620 s
16:31:42	测量	(-466.51, 505.00)	16	未检测到信号	466.620 s
16:31:43	测量	(-665.00, 435.00)	7	示向度 351.16°	514.715 s
16:31:43	测量	(-665.00, 435.00)	12	示向度 109.47°	520.715 s
16:31:43	测量	(-665.00, 435.00)	14	示向度 137.99°	526.715 s
16:31:43	测量	(-665.00, 435.00)	17	未检测到信号	532.715 s
16:31:43	测量	(-665.00, 435.00)	18	未检测到信号	538.715 s
16:31:43	测量	(-665.00, 435.00)	20	未检测到信号	544.715 s
16:31:43	清除	(-665.00, 435.00)	7	清除成功	549.715 s
16:31:44	测量	(-1098.01, 685.00)	1	示向度 72.69°	655.715 s
16:31:44	测量	(-1098.01, 685.00)	2	未检测到信号	661.715 s
16:31:44	测量	(-1098.01, 685.00)	4	未检测到信号	667.715 s
16:31:44	测量	(-1098.01, 685.00)	12	示向度 76.71°	673.715 s
16:31:44	测量	(-1098.01, 685.00)	14	示向度 108.97°	679.715 s
16:31:45	测量	(-1170.00, 890.00)	14	距离过近	728.170 s
16:31:45	测量	(-1170.00, 890.00)	1	示向度 60.02°	734.170 s
16:31:45	测量	(-1170.00, 890.00)	5	未检测到信号	740.170 s
16:31:45	测量	(-1170.00, 890.00)	6	未检测到信号	746.170 s
16:31:45	测量	(-1170.00, 890.00)	8	未检测到信号	752.170 s
16:31:45	测量	(-1170.00, 890.00)	12	示向度 61.03°	758.170 s
16:31:45	清除	(-1170.00, 890.00)	14	清除成功	763.170 s
16:31:46	测量	(-1045.00, 1106.51)	12	示向度 63.75°	818.170 s
16:31:46	测量	(-1045.00, 1106.51)	1	示向度 59.28°	824.170 s
16:31:46	测量	(-1045.00, 1106.51)	11	未检测到信号	830.170 s
16:31:46	测量	(-1045.00, 1106.51)	13	未检测到信号	836.170 s
16:31:46	测量	(-1045.00, 1106.51)	15	未检测到信号	842.170 s
16:31:47	测量	(-965.00, 1265.00)	1	示向度 55.41°	883.678 s
16:31:47	测量	(-965.00, 1265.00)	12	距离过近	889.678 s
16:31:47	测量	(-965.00, 1265.00)	16	未检测到信号	895.678 s
16:31:47	测量	(-965.00, 1265.00)	17	未检测到信号	901.678 s
16:31:47	测量	(-965.00, 1265.00)	18	未检测到信号	907.678 s
16:31:47	清除	(-965.00, 1265.00)	12	清除成功	912.678 s
16:31:48	测量	(-870.00, 1405.00)	1	示向度 28.74°	952.515 s
16:31:48	测量	(-870.00, 1405.00)	2	未检测到信号	958.515 s
16:31:48	测量	(-870.00, 1405.00)	4	未检测到信号	964.515 s
16:31:48	测量	(-870.00, 1405.00)	20	未检测到信号	970.515 s
16:31:48	清除	(-870.00, 1405.00)	1	清除成功	975.515 s
16:31:49	测量	(-90.58, 955.00)	9	示向度 322.27°	1161.515 s
16:31:49	测量	(-90.58, 955.00)	15	未检测到信号	1167.515 s
16:31:49	测量	(-90.58, 955.00)	17	示向度 40.11°	1173.515 s
16:31:49	测量	(-90.58, 955.00)	18	未检测到信号	1179.515 s
16:31:49	测量	(34.42, 1171.51)	5	未检测到信号	1235.515 s
16:31:50	测量	(34.42, 1171.51)	6	未检测到信号	1241.515 s
16:31:50	测量	(34.42, 1171.51)	8	未检测到信号	1247.515 s
16:31:50	测量	(34.42, 1171.51)	17	示向度 28.68°	1253.515 s
16:31:50	测量	(159.42, 1388.01)	17	示向度 354.31°	1308.515 s
16:31:50	测量	(159.42, 1388.01)	11	未检测到信号	1314.515 s
16:31:50	测量	(159.42, 1388.01)	13	未检测到信号	1320.515 s
16:31:50	测量	(159.42, 1388.01)	20	未检测到信号	1326.515 s
16:31:51	测量	(293.56, 1388.01)	2	未检测到信号	1359.342 s
16:31:51	测量	(293.56, 1388.01)	4	未检测到信号	1365.342 s
16:31:51	测量	(293.56, 1388.01)	16	未检测到信号	1371.342 s
16:31:51	测量	(293.56, 1388.01)	17	示向度 346.27°	1377.342 s
16:31:52	测量	(390.00, 1365.00)	17	距离过近	1402.172 s
16:31:52	测量	(390.00, 1365.00)	5	未检测到信号	1408.172 s
16:31:52	测量	(390.00, 1365.00)	15	未检测到信号	1414.172 s
