12个全向

接收时间	指令	位置	频道	响应摘要	虚拟时间
19:11:41	进入	--	--	进入成功	0.000 s
19:11:41	测量	(0.00, 0.00)	1	未检测到信号	5.000 s
19:11:41	测量	(0.00, 0.00)	2	未检测到信号	11.000 s
19:11:41	测量	(0.00, 0.00)	3	示向度 352.45°	17.000 s
19:11:41	测量	(0.00, 0.00)	4	示向度 301.95°	23.000 s
19:11:41	测量	(0.00, 0.00)	5	未检测到信号	29.000 s
19:11:41	测量	(0.00, 0.00)	6	示向度 270.43°	35.000 s
19:11:41	测量	(0.00, 0.00)	7	示向度 248.30°	41.000 s
19:11:41	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
19:11:41	测量	(0.00, 0.00)	9	示向度 205.56°	53.000 s
19:11:41	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
19:11:41	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
19:11:41	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
19:11:41	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
19:11:41	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
19:11:41	测量	(0.00, 0.00)	15	未检测到信号	89.000 s
19:11:42	测量	(0.00, 0.00)	16	示向度 245.67°	95.000 s
19:11:42	测量	(0.00, 0.00)	17	未检测到信号	101.000 s
19:11:42	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
19:11:42	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
19:11:42	测量	(0.00, 0.00)	20	未检测到信号	119.000 s
19:11:42	测量	(-125.00, -216.51)	1	未检测到信号	175.000 s
19:11:42	测量	(-125.00, -216.51)	2	未检测到信号	181.000 s
19:11:42	测量	(-125.00, -216.51)	3	未检测到信号	187.000 s
19:11:42	测量	(-125.00, -216.51)	4	示向度 317.31°	193.000 s
19:11:42	测量	(-125.00, -216.51)	5	未检测到信号	199.000 s
19:11:42	测量	(-125.00, -216.51)	6	示向度 281.81°	205.000 s
19:11:42	测量	(-125.00, -216.51)	7	示向度 251.82°	211.000 s
19:11:42	测量	(-125.00, -216.51)	9	示向度 188.16°	217.000 s
19:11:42	测量	(-125.00, -216.51)	16	示向度 252.15°	223.000 s
19:11:43	测量	(-125.00, -466.51)	16	示向度 142.45°	278.000 s
19:11:43	测量	(-125.00, -466.51)	4	示向度 333.01°	284.000 s
19:11:43	测量	(-125.00, -466.51)	6	示向度 287.71°	290.000 s
19:11:43	测量	(-125.00, -466.51)	7	示向度 241.25°	296.000 s
19:11:43	测量	(-125.00, -466.51)	8	未检测到信号	302.000 s
19:11:43	测量	(-125.00, -466.51)	9	示向度 160.25°	308.000 s
19:11:43	测量	(-125.00, -466.51)	10	未检测到信号	314.000 s
19:11:43	测量	(-125.00, -466.51)	11	示向度 312.75°	320.000 s
19:11:44	测量	(-185.00, -415.00)	11	示向度 313.06°	340.815 s
19:11:44	测量	(-185.00, -415.00)	4	示向度 331.57°	346.815 s
19:11:44	测量	(-185.00, -415.00)	6	示向度 292.64°	352.815 s
19:11:44	测量	(-185.00, -415.00)	7	示向度 250.31°	358.815 s
19:11:44	测量	(-185.00, -415.00)	9	示向度 163.69°	364.815 s
19:11:44	测量	(-185.00, -415.00)	12	未检测到信号	370.815 s
19:11:44	测量	(-185.00, -415.00)	13	未检测到信号	376.815 s
19:11:44	测量	(-185.00, -415.00)	14	未检测到信号	382.815 s
19:11:44	测量	(-185.00, -415.00)	16	示向度 199.49°	388.815 s
19:11:45	清除	(-185.00, -415.00)	16	清除成功	393.815 s
19:11:45	测量	(-435.00, -415.00)	4	示向度 338.96°	449.815 s
19:11:45	测量	(-435.00, -415.00)	6	示向度 314.94°	455.815 s
19:11:45	测量	(-435.00, -415.00)	7	示向度 279.83°	461.815 s
19:11:45	测量	(-435.00, -415.00)	9	示向度 142.74°	467.815 s
19:11:45	测量	(-435.00, -415.00)	11	未检测到信号	473.815 s
19:11:45	测量	(-435.00, -415.00)	15	未检测到信号	479.815 s
19:11:45	测量	(-435.00, -415.00)	17	未检测到信号	485.815 s
19:11:45	测量	(-435.00, -415.00)	18	未检测到信号	491.815 s
19:11:46	测量	(-605.00, -285.00)	1	未检测到信号	540.617 s
19:11:46	测量	(-605.00, -285.00)	6	示向度 315.73°	546.617 s
