4全向6定向
接收时间	指令	位置	频道	响应摘要	虚拟时间
14:15:35	进入	--	--	进入成功	0.000 s
14:15:35	测量	(0.00, 0.00)	1	未检测到信号	5.000 s
14:15:35	测量	(0.00, 0.00)	2	未检测到信号	11.000 s
14:15:35	测量	(0.00, 0.00)	3	示向度 323.66°	17.000 s
14:15:35	测量	(0.00, 0.00)	4	未检测到信号	23.000 s
14:15:35	测量	(0.00, 0.00)	5	未检测到信号	29.000 s
14:15:35	测量	(0.00, 0.00)	6	示向度 234.14°	35.000 s
14:15:35	测量	(0.00, 0.00)	7	未检测到信号	41.000 s
14:15:35	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
14:15:35	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
14:15:35	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
14:15:35	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
14:15:35	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
14:15:35	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
14:15:35	测量	(0.00, 0.00)	14	示向度 94.72°	83.000 s
14:15:35	测量	(0.00, 0.00)	15	未检测到信号	89.000 s
14:15:35	测量	(0.00, 0.00)	16	未检测到信号	95.000 s
14:15:35	测量	(0.00, 0.00)	17	未检测到信号	101.000 s
14:15:35	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
14:15:35	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
14:15:35	测量	(0.00, 0.00)	20	未检测到信号	119.000 s
14:15:35	测量	(119.76, -90.31)	3	示向度 324.21°	155.000 s
14:15:35	测量	(119.76, -90.31)	6	示向度 220.09°	161.000 s
14:15:35	测量	(119.76, -90.31)	14	示向度 106.55°	167.000 s
14:15:35	测量	(-380.00, -510.00)	14	未检测到信号	302.522 s
14:15:35	测量	(-380.00, -510.00)	3	示向度 12.67°	308.522 s
14:15:35	测量	(-380.00, -510.00)	6	示向度 35.19°	314.522 s
14:15:35	测量	(-27.68, 208.24)	6	示向度 245.05°	479.522 s
14:15:35	测量	(-27.68, 208.24)	3	示向度 312.11°	485.522 s
14:15:35	测量	(-27.68, 208.24)	14	示向度 94.24°	491.522 s
14:15:35	测量	(-450.00, 779.42)	14	示向度 326.40°	638.593 s
14:15:35	测量	(-450.00, 779.42)	1	未检测到信号	644.593 s
14:15:35	测量	(-450.00, 779.42)	2	未检测到信号	650.593 s
14:15:35	测量	(-450.00, 779.42)	3	未检测到信号	656.593 s
14:15:35	测量	(-450.00, 779.42)	4	未检测到信号	662.593 s
14:15:35	测量	(-450.00, 779.42)	5	未检测到信号	668.593 s
14:15:35	测量	(-450.00, 779.42)	6	示向度 275.12°	674.593 s
14:15:35	测量	(-450.00, 779.42)	7	未检测到信号	680.593 s
14:15:35	测量	(-450.00, 779.42)	8	未检测到信号	686.593 s
14:15:35	测量	(-450.00, 779.42)	9	未检测到信号	692.593 s
14:15:35	测量	(-450.00, 779.42)	10	未检测到信号	698.593 s
14:15:35	测量	(-450.00, 779.42)	11	未检测到信号	704.593 s
14:15:35	测量	(-450.00, 779.42)	12	示向度 205.62°	710.593 s
14:15:35	测量	(-450.00, 779.42)	13	未检测到信号	716.593 s
14:15:35	测量	(-450.00, 779.42)	15	未检测到信号	722.593 s
14:15:35	测量	(-450.00, 779.42)	16	未检测到信号	728.593 s
14:15:35	测量	(-450.00, 779.42)	17	未检测到信号	734.593 s
14:15:35	测量	(-450.00, 779.42)	18	未检测到信号	740.593 s
