共10个， 全向1个， 定向9个

接收时间	指令	位置	频道	响应摘要	虚拟时间
17:06:02	进入	--	--	进入成功	0.000 s
17:06:02	测量	(0.00, 0.00)	1	未检测到信号	5.000 s
17:06:02	测量	(0.00, 0.00)	2	未检测到信号	11.000 s
17:06:02	测量	(0.00, 0.00)	3	未检测到信号	17.000 s
17:06:02	测量	(0.00, 0.00)	4	示向度 213.96°	23.000 s
17:06:02	测量	(0.00, 0.00)	5	未检测到信号	29.000 s
17:06:02	测量	(0.00, 0.00)	6	未检测到信号	35.000 s
17:06:02	测量	(0.00, 0.00)	7	未检测到信号	41.000 s
17:06:02	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
17:06:02	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
17:06:02	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
17:06:02	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
17:06:02	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
17:06:02	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
17:06:02	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
17:06:02	测量	(0.00, 0.00)	15	未检测到信号	89.000 s
17:06:02	测量	(0.00, 0.00)	16	未检测到信号	95.000 s
17:06:02	测量	(0.00, 0.00)	17	示向度 113.61°	101.000 s
17:06:02	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
17:06:02	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
17:06:02	测量	(0.00, 0.00)	20	未检测到信号	119.000 s
17:06:02	测量	(-102.45, 228.04)	4	示向度 231.61°	175.000 s
17:06:02	测量	(-102.45, 228.04)	17	示向度 114.40°	181.000 s
17:06:02	测量	(-205.10, 456.00)	17	示向度 114.08°	236.000 s
17:06:02	测量	(-205.10, 456.00)	4	示向度 245.54°	242.000 s
17:06:02	测量	(-410.00, 920.00)	4	未检测到信号	348.446 s
17:06:02	测量	(-410.00, 920.00)	17	未检测到信号	354.446 s
17:06:02	测量	(-410.00, 870.00)	17	示向度 90.72°	369.446 s
17:06:02	测量	(-410.00, 870.00)	4	未检测到信号	375.446 s
17:06:02	清除	(-400.00, 860.00)	17	范围内无目标	381.274 s
17:06:02	清除	(-400.00, 880.00)	17	范围内无目标	388.274 s
17:06:02	清除	(-400.00, 900.00)	17	清除成功	397.274 s
17:06:02	测量	(-590.00, -400.00)	4	未检测到信号	665.037 s
17:06:02	测量	(-590.00, -350.00)	4	未检测到信号	680.037 s
17:06:02	清除	(-580.00, -360.00)	4	清除成功	687.865 s
17:06:02	测量	(-1234.24, -118.89)	1	未检测到信号	833.316 s
17:06:02	测量	(-1234.24, -118.89)	2	未检测到信号	839.316 s
17:06:02	测量	(-1234.24, -118.89)	3	未检测到信号	845.316 s
17:06:02	测量	(-1234.24, -118.89)	5	未检测到信号	851.316 s
17:06:02	测量	(-1234.24, -118.89)	6	未检测到信号	857.316 s
17:06:02	测量	(-1234.24, -118.89)	7	未检测到信号	863.316 s
17:06:02	测量	(-1234.24, -118.89)	8	未检测到信号	869.316 s
17:06:02	测量	(-1234.24, -118.89)	9	未检测到信号	875.316 s
17:06:02	测量	(-1234.24, -118.89)	10	未检测到信号	881.316 s
17:06:02	测量	(-1234.24, -118.89)	11	未检测到信号	887.316 s
17:06:02	测量	(-1234.24, -118.89)	12	未检测到信号	893.316 s
17:06:02	测量	(-1234.24, -118.89)	13	未检测到信号	899.316 s
17:06:02	测量	(-1234.24, -118.89)	14	未检测到信号	905.316 s
17:06:02	测量	(-1234.24, -118.89)	15	未检测到信号	911.316 s
17:06:02	测量	(-1234.24, -118.89)	16	未检测到信号	917.316 s
17:06:02	测量	(-1234.24, -118.89)	18	示向度 80.83°	923.316 s
17:06:02	测量	(-1234.24, -118.89)	19	未检测到信号	929.316 s
17:06:02	测量	(-1234.24, -118.89)	20	未检测到信号	935.316 s
17:06:02	测量	(-1128.38, 471.70)	18	示向度 84.41°	1061.316 s
17:06:02	测量	(-1050.01, 709.10)	18	示向度 119.23°	1116.316 s
17:06:02	清除	(-1080.00, 780.00)	18	范围内无目标	1134.713 s
17:06:02	清除	(-1100.00, 780.00)	18	清除成功	1143.713 s
17:06:02	测量	(-836.36, 882.20)	1	未检测到信号	1206.264 s
17:06:02	测量	(-836.36, 882.20)	2	未检测到信号	1212.264 s
17:06:02	测量	(-836.36, 882.20)	3	未检测到信号	1218.264 s
17:06:02	测量	(-836.36, 882.20)	5	未检测到信号	1224.264 s
17:06:02	测量	(-836.36, 882.20)	6	未检测到信号	1230.264 s
17:06:02	测量	(-836.36, 882.20)	7	未检测到信号	1236.264 s
