接收时间	指令	位置	频道	响应摘要	虚拟时间
03:00:07	进入	--	--	进入成功	0.000 s
03:00:07	测量	(0.00, 0.00)	1	未检测到信号	5.000 s
03:00:07	测量	(0.00, 0.00)	2	示向度 227.00°	11.000 s
03:00:07	测量	(0.00, 0.00)	3	未检测到信号	17.000 s
03:00:07	测量	(0.00, 0.00)	4	未检测到信号	23.000 s
03:00:07	测量	(0.00, 0.00)	5	未检测到信号	29.000 s
03:00:07	测量	(0.00, 0.00)	6	示向度 232.99°	35.000 s
03:00:07	测量	(0.00, 0.00)	7	未检测到信号	41.000 s
03:00:07	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
03:00:07	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
03:00:07	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
03:00:07	测量	(0.00, 0.00)	11	示向度 158.10°	65.000 s
03:00:07	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
03:00:07	测量	(0.00, 0.00)	13	示向度 285.36°	77.000 s
03:00:07	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
03:00:07	测量	(0.00, 0.00)	15	未检测到信号	89.000 s
03:00:07	测量	(0.00, 0.00)	16	未检测到信号	95.000 s
03:00:07	测量	(0.00, 0.00)	17	示向度 39.29°	101.000 s
03:00:07	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
03:00:07	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
03:00:07	测量	(0.00, 0.00)	20	未检测到信号	119.000 s
03:00:09	测量	(-198.31, -458.99)	1	未检测到信号	225.000 s
03:00:09	测量	(-198.31, -458.99)	2	示向度 133.56°	231.000 s
03:00:09	测量	(-198.31, -458.99)	3	未检测到信号	237.000 s
03:00:09	测量	(-198.31, -458.99)	4	未检测到信号	243.000 s
03:00:09	测量	(-198.31, -458.99)	5	未检测到信号	249.000 s
03:00:09	测量	(-198.31, -458.99)	6	示向度 123.10°	255.000 s
03:00:09	测量	(-198.31, -458.99)	7	未检测到信号	261.000 s
03:00:09	测量	(-198.31, -458.99)	8	未检测到信号	267.000 s
03:00:09	测量	(-198.31, -458.99)	9	未检测到信号	273.000 s
03:00:09	测量	(-198.31, -458.99)	10	未检测到信号	279.000 s
03:00:09	测量	(-198.31, -458.99)	11	示向度 137.33°	285.000 s
03:00:09	测量	(-198.31, -458.99)	13	示向度 344.20°	291.000 s
03:00:09	测量	(-198.31, -458.99)	17	未检测到信号	297.000 s
03:00:11	清除	(-266.80, -353.93)	6	清除成功	327.083 s
03:00:13	清除	(-314.29, -337.03)	2	清除成功	342.163 s
03:00:14	清除	(153.42, -558.52)	13	清除成功	450.664 s
03:00:14	测量	(389.29, -117.65)	17	示向度 57.47°	555.664 s
03:00:14	测量	(389.29, -117.65)	1	未检测到信号	561.664 s
03:00:14	测量	(389.29, -117.65)	12	未检测到信号	567.664 s
03:00:14	测量	(389.29, -117.65)	14	未检测到信号	573.664 s
03:00:14	测量	(389.29, -117.65)	15	未检测到信号	579.664 s
03:00:14	测量	(389.29, -117.65)	16	示向度 254.17°	585.664 s
03:00:14	测量	(389.29, -117.65)	18	未检测到信号	591.664 s
03:00:14	测量	(389.29, -117.65)	19	示向度 352.72°	597.664 s
03:00:14	测量	(389.29, -117.65)	20	未检测到信号	603.664 s
03:00:16	测量	(819.49, 556.83)	20	未检测到信号	768.664 s
03:00:16	测量	(819.49, 556.83)	1	未检测到信号	774.664 s
03:00:16	测量	(819.49, 556.83)	3	未检测到信号	780.664 s
03:00:16	测量	(819.49, 556.83)	4	未检测到信号	786.664 s
03:00:16	测量	(819.49, 556.83)	5	未检测到信号	792.664 s
03:00:16	测量	(819.49, 556.83)	7	未检测到信号	798.664 s
03:00:16	测量	(819.49, 556.83)	8	未检测到信号	804.664 s
03:00:16	测量	(819.49, 556.83)	9	未检测到信号	810.664 s
03:00:16	测量	(819.49, 556.83)	10	未检测到信号	816.664 s
03:00:16	测量	(819.49, 556.83)	12	未检测到信号	822.664 s
03:00:16	测量	(819.49, 556.83)	14	未检测到信号	828.664 s
03:00:16	测量	(819.49, 556.83)	15	示向度 125.08°	834.664 s
03:00:16	测量	(819.49, 556.83)	17	示向度 57.31°	840.664 s
03:00:16	测量	(819.49, 556.83)	18	未检测到信号	846.664 s
03:00:16	测量	(819.49, 556.83)	19	示向度 315.38°	852.664 s
03:00:18	清除	(972.08, 795.35)	17	清除成功	914.295 s
03:00:18	测量	(1406.68, 123.69)	19	示向度 302.37°	1079.295 s
03:00:18	测量	(1406.68, 123.69)	1	未检测到信号	1085.295 s
03:00:18	测量	(1406.68, 123.69)	3	未检测到信号	1091.295 s
03:00:18	测量	(1406.68, 123.69)	4	未检测到信号	1097.295 s
03:00:18	测量	(1406.68, 123.69)	5	未检测到信号	1103.295 s
03:00:18	测量	(1406.68, 123.69)	7	未检测到信号	1109.295 s
03:00:19	测量	(1406.68, 123.69)	8	未检测到信号	1115.295 s
03:00:19	测量	(1406.68, 123.69)	9	未检测到信号	1121.295 s
03:00:19	测量	(1406.68, 123.69)	10	未检测到信号	1127.295 s
03:00:19	测量	(1406.68, 123.69)	12	未检测到信号	1133.295 s
03:00:19	测量	(1406.68, 123.69)	14	未检测到信号	1139.295 s
03:00:19	测量	(1406.68, 123.69)	18	未检测到信号	1145.295 s
03:00:19	测量	(1406.68, 123.69)	20	示向度 272.93°	1151.295 s
03:00:20	清除	(1664.48, -279.94)	19	清除成功	1252.082 s
03:00:21	测量	(1599.37, -521.32)	20	示向度 251.14°	1307.082 s
03:00:21	测量	(1599.37, -521.32)	1	未检测到信号	1313.082 s
03:00:21	测量	(1599.37, -521.32)	3	未检测到信号	1319.082 s
03:00:21	测量	(1599.37, -521.32)	4	未检测到信号	1325.082 s
03:00:21	测量	(1599.37, -521.32)	5	未检测到信号	1331.082 s
03:00:21	测量	(1599.37, -521.32)	7	未检测到信号	1337.082 s
03:00:21	测量	(1599.37, -521.32)	8	未检测到信号	1343.082 s
03:00:21	测量	(1599.37, -521.32)	9	未检测到信号	1349.082 s
03:00:21	测量	(1599.37, -521.32)	10	未检测到信号	1355.082 s
03:00:22	清除	(1460.50, -927.85)	20	范围内无目标	1444.001 s
03:00:23	测量	(1460.00, -940.00)	3	未检测到信号	1452.434 s
03:00:23	测量	(1460.00, -940.00)	4	未检测到信号	1458.434 s
03:00:23	测量	(1460.00, -940.00)	5	未检测到信号	1464.434 s
03:00:23	测量	(1460.00, -940.00)	7	未检测到信号	1470.434 s
03:00:23	测量	(1460.00, -940.00)	8	未检测到信号	1476.434 s
03:00:23	测量	(1460.00, -940.00)	12	未检测到信号	1482.434 s
03:00:23	测量	(1460.00, -940.00)	14	未检测到信号	1488.434 s
03:00:23	测量	(1460.00, -940.00)	18	未检测到信号	1494.434 s
03:00:23	测量	(1460.00, -940.00)	20	示向度 248.56°	1500.434 s
03:00:24	测量	(1450.00, -980.00)	20	示向度 79.86°	1513.680 s
03:00:24	测量	(1450.00, -980.00)	1	未检测到信号	1519.680 s
03:00:24	测量	(1450.00, -980.00)	9	未检测到信号	1525.680 s
03:00:24	测量	(1450.00, -980.00)	10	未检测到信号	1531.680 s
03:00:24	清除	(1450.00, -980.00)	20	范围内无目标	1534.680 s
03:00:25	测量	(1453.79, -961.03)	20	示向度 85.39°	1544.550 s
03:00:25	清除	(1453.79, -961.03)	20	清除成功	1549.550 s
03:00:25	测量	(966.27, -1072.04)	3	未检测到信号	1655.550 s
03:00:25	测量	(966.27, -1072.04)	4	未检测到信号	1661.550 s
03:00:25	测量	(966.27, -1072.04)	5	未检测到信号	1667.550 s
03:00:25	测量	(966.27, -1072.04)	7	未检测到信号	1673.550 s
03:00:25	测量	(966.27, -1072.04)	8	未检测到信号	1679.550 s
03:00:25	测量	(966.27, -1072.04)	12	未检测到信号	1685.550 s
03:00:25	测量	(966.27, -1072.04)	14	未检测到信号	1691.550 s
03:00:25	测量	(966.27, -1072.04)	16	示向度 187.91°	1697.550 s
03:00:25	测量	(966.27, -1072.04)	18	未检测到信号	1703.550 s
03:00:26	清除	(83.93, -1194.64)	16	清除成功	1886.714 s
03:00:26	测量	(-899.96, 67.09)	18	未检测到信号	2211.714 s
03:00:26	测量	(-899.96, 67.09)	1	未检测到信号	2217.714 s
03:00:26	测量	(-899.96, 67.09)	3	未检测到信号	2223.714 s
03:00:26	测量	(-899.96, 67.09)	4	未检测到信号	2229.714 s
03:00:26	测量	(-899.96, 67.09)	5	未检测到信号	2235.714 s
03:00:26	测量	(-899.96, 67.09)	7	未检测到信号	2241.714 s
03:00:26	测量	(-899.96, 67.09)	8	未检测到信号	2247.714 s
03:00:26	测量	(-899.96, 67.09)	9	未检测到信号	2253.714 s
03:00:26	测量	(-899.96, 67.09)	10	未检测到信号	2259.714 s
03:00:26	测量	(-899.96, 67.09)	11	示向度 126.50°	2265.714 s
03:00:26	测量	(-899.96, 67.09)	12	未检测到信号	2271.714 s
03:00:26	测量	(-899.96, 67.09)	14	未检测到信号	2277.714 s
03:00:26	清除	(-1214.98, 486.15)	11	范围内无目标	2385.567 s
03:00:27	测量	(-1215.00, 490.00)	1	未检测到信号	2392.336 s
03:00:27	测量	(-1215.00, 490.00)	3	未检测到信号	2398.336 s
03:00:27	测量	(-1215.00, 490.00)	4	未检测到信号	2404.336 s
03:00:27	测量	(-1215.00, 490.00)	5	未检测到信号	2410.336 s
03:00:27	测量	(-1215.00, 490.00)	7	未检测到信号	2416.336 s
03:00:27	测量	(-1215.00, 490.00)	8	未检测到信号	2422.336 s
03:00:27	测量	(-1215.00, 490.00)	9	未检测到信号	2428.336 s
03:00:27	测量	(-1215.00, 490.00)	10	未检测到信号	2434.336 s
03:00:27	测量	(-1215.00, 490.00)	11	示向度 125.67°	2440.336 s
03:00:28	测量	(-1235.00, 515.00)	11	示向度 106.78°	2451.739 s
03:00:28	测量	(-1235.00, 515.00)	12	未检测到信号	2457.739 s
03:00:28	测量	(-1235.00, 515.00)	14	未检测到信号	2463.739 s
03:00:28	测量	(-1235.00, 515.00)	18	示向度 70.97°	2469.739 s
03:00:28	清除	(-1235.00, 515.00)	11	清除成功	2474.739 s
03:00:29	测量	(-945.59, 922.73)	18	示向度 89.79°	2579.739 s
03:00:29	测量	(-945.59, 922.73)	1	未检测到信号	2585.739 s
03:00:29	测量	(-945.59, 922.73)	3	未检测到信号	2591.739 s
03:00:29	测量	(-945.59, 922.73)	4	未检测到信号	2597.739 s
03:00:29	测量	(-945.59, 922.73)	5	未检测到信号	2603.739 s
03:00:29	测量	(-945.59, 922.73)	7	未检测到信号	2609.739 s
03:00:29	测量	(-945.59, 922.73)	8	未检测到信号	2615.739 s
03:00:29	测量	(-945.59, 922.73)	9	未检测到信号	2621.739 s
03:00:29	测量	(-945.59, 922.73)	10	未检测到信号	2627.739 s
03:00:29	清除	(-943.99, 1358.72)	18	清除成功	2719.938 s
03:00:30	测量	(-444.17, 1345.17)	1	未检测到信号	2825.938 s
03:00:30	测量	(-444.17, 1345.17)	3	未检测到信号	2831.938 s
03:00:30	测量	(-444.17, 1345.17)	4	未检测到信号	2837.938 s
03:00:30	测量	(-444.17, 1345.17)	5	未检测到信号	2843.938 s
03:00:30	测量	(-444.17, 1345.17)	7	未检测到信号	2849.938 s
03:00:30	测量	(-444.17, 1345.17)	8	未检测到信号	2855.938 s
03:00:30	测量	(-444.17, 1345.17)	12	示向度 29.83°	2861.938 s
03:00:30	测量	(-444.17, 1345.17)	14	未检测到信号	2867.938 s
03:00:30	测量	(-444.17, 1345.17)	15	示向度 340.45°	2873.938 s
03:00:31	测量	(-194.23, 1339.65)	15	示向度 334.49°	2928.938 s
03:00:31	测量	(-194.23, 1339.65)	9	未检测到信号	2934.938 s
03:00:31	测量	(-194.23, 1339.65)	10	未检测到信号	2940.938 s
03:00:31	测量	(-194.23, 1339.65)	12	示向度 55.14°	2946.938 s
03:00:32	清除	(-21.62, 1587.47)	12	清除成功	3012.339 s
03:00:32	清除	(502.23, 1008.30)	15	清除成功	3173.526 s
03:00:32	测量	(502.23, 1008.30)	1	未检测到信号	3179.526 s
03:00:32	测量	(502.23, 1008.30)	3	未检测到信号	3185.526 s
03:00:32	测量	(502.23, 1008.30)	4	未检测到信号	3191.526 s
03:00:32	测量	(502.23, 1008.30)	5	未检测到信号	3197.526 s
03:00:32	测量	(502.23, 1008.30)	7	未检测到信号	3203.526 s
03:00:32	测量	(502.23, 1008.30)	8	未检测到信号	3209.526 s
03:00:32	测量	(502.23, 1008.30)	9	未检测到信号	3215.526 s
03:00:32	测量	(502.23, 1008.30)	10	未检测到信号	3221.526 s
03:00:32	测量	(502.23, 1008.30)	14	未检测到信号	3227.526 s
03:00:33	测量	(0.00, -1200.00)	14	未检测到信号	3685.463 s
03:00:33	测量	(0.00, -1200.00)	1	未检测到信号	3691.463 s
03:00:33	测量	(0.00, -1200.00)	3	未检测到信号	3697.463 s
03:00:33	测量	(0.00, -1200.00)	4	未检测到信号	3703.463 s
03:00:33	测量	(0.00, -1200.00)	5	未检测到信号	3709.463 s
