接收时间	指令	位置	频道	响应摘要	虚拟时间
03:16:55	进入	--	--	进入成功	0.000 s
03:16:55	测量	(0.00, 0.00)	1	未检测到信号	5.000 s
03:16:55	测量	(0.00, 0.00)	2	未检测到信号	11.000 s
03:16:55	测量	(0.00, 0.00)	3	示向度 171.80°	17.000 s
03:16:55	测量	(0.00, 0.00)	4	示向度 140.65°	23.000 s
03:16:55	测量	(0.00, 0.00)	5	示向度 235.11°	29.000 s
03:16:55	测量	(0.00, 0.00)	6	未检测到信号	35.000 s
03:16:55	测量	(0.00, 0.00)	7	未检测到信号	41.000 s
03:16:55	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
03:16:55	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
03:16:55	测量	(0.00, 0.00)	10	示向度 160.76°	59.000 s
03:16:55	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
03:16:55	测量	(0.00, 0.00)	12	未检测到信号	71.000 s
03:16:55	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
03:16:55	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
03:16:55	测量	(0.00, 0.00)	15	未检测到信号	89.000 s
03:16:55	测量	(0.00, 0.00)	16	未检测到信号	95.000 s
03:16:55	测量	(0.00, 0.00)	17	未检测到信号	101.000 s
03:16:55	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
03:16:55	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
03:16:55	测量	(0.00, 0.00)	20	未检测到信号	119.000 s
03:16:55	测量	(-485.96, 294.69)	4	示向度 109.99°	238.666 s
03:16:55	清除	(-540.83, 444.05)	4	清除成功	275.489 s
03:16:55	测量	(-540.83, 444.05)	3	示向度 205.68°	281.489 s
03:16:55	测量	(-540.83, 444.05)	5	未检测到信号	287.489 s
03:16:55	测量	(-540.83, 444.05)	10	示向度 257.50°	293.489 s
03:16:55	清除	(-593.15, 207.12)	10	清除成功	347.015 s
03:16:55	测量	(-593.15, 207.12)	3	示向度 183.02°	353.015 s
03:16:55	测量	(-593.15, 207.12)	5	示向度 265.33°	359.015 s
03:16:55	清除	(-1108.69, 171.58)	3	清除成功	467.369 s
03:16:55	测量	(-1108.69, 171.58)	5	示向度 290.22°	472.369 s
03:16:55	清除	(-684.34, -982.59)	5	清除成功	723.311 s
03:16:55	测量	(-637.91, -1013.77)	1	未检测到信号	740.497 s
03:16:55	测量	(-637.91, -1013.77)	2	未检测到信号	746.497 s
03:16:55	测量	(-637.91, -1013.77)	6	未检测到信号	752.497 s
03:16:55	测量	(-637.91, -1013.77)	7	未检测到信号	758.497 s
03:16:55	测量	(-637.91, -1013.77)	8	示向度 139.59°	764.497 s
03:16:55	测量	(-637.91, -1013.77)	9	未检测到信号	770.497 s
03:16:55	测量	(-637.91, -1013.77)	11	未检测到信号	776.497 s
03:16:55	测量	(-637.91, -1013.77)	12	未检测到信号	782.497 s
03:16:55	测量	(-637.91, -1013.77)	13	未检测到信号	788.497 s
03:16:55	测量	(-637.91, -1013.77)	14	未检测到信号	794.497 s
03:16:55	测量	(-637.91, -1013.77)	15	未检测到信号	800.497 s
03:16:55	测量	(-637.91, -1013.77)	16	未检测到信号	806.497 s
03:16:55	测量	(-637.91, -1013.77)	17	未检测到信号	812.497 s
03:16:55	测量	(-637.91, -1013.77)	18	未检测到信号	818.497 s
03:16:55	测量	(-637.91, -1013.77)	19	未检测到信号	824.497 s
03:16:55	测量	(-637.91, -1013.77)	20	示向度 166.41°	830.497 s
03:16:55	测量	(-991.44, -839.05)	20	示向度 185.50°	914.367 s
03:16:55	清除	(-1260.51, -864.11)	20	范围内无目标	971.414 s
03:16:55	测量	(-1260.48, -852.04)	20	示向度 334.33°	978.828 s
03:16:55	清除	(-1238.04, -862.65)	20	清除成功	988.793 s
03:16:55	测量	(-1238.04, -862.65)	8	示向度 107.78°	994.793 s
03:16:56	清除	(-1398.43, -365.23)	8	清除成功	1104.322 s
03:16:56	测量	(-1244.26, -81.46)	1	未检测到信号	1174.912 s
03:16:56	测量	(-1244.26, -81.46)	2	未检测到信号	1180.912 s
03:16:56	测量	(-1244.26, -81.46)	6	未检测到信号	1186.912 s
03:16:56	测量	(-1244.26, -81.46)	7	未检测到信号	1192.912 s
03:16:56	测量	(-1244.26, -81.46)	9	未检测到信号	1198.912 s
03:16:56	测量	(-1244.26, -81.46)	11	未检测到信号	1204.912 s
03:16:56	测量	(-1244.26, -81.46)	12	未检测到信号	1210.912 s
03:16:56	测量	(-1244.26, -81.46)	13	未检测到信号	1216.912 s
03:16:56	测量	(-1244.26, -81.46)	14	未检测到信号	1222.912 s
03:16:56	测量	(-1244.26, -81.46)	15	未检测到信号	1228.912 s
03:16:56	测量	(-1244.26, -81.46)	16	示向度 131.28°	1234.912 s
03:16:56	测量	(-1244.26, -81.46)	17	未检测到信号	1240.912 s
03:16:56	测量	(-1244.26, -81.46)	18	未检测到信号	1246.912 s
03:16:56	测量	(-1244.26, -81.46)	19	未检测到信号	1252.912 s
03:16:56	测量	(-1396.39, 159.96)	16	示向度 140.59°	1315.984 s
03:16:56	测量	(-1585.34, 345.54)	16	示向度 278.49°	1373.951 s
03:16:56	清除	(-1579.99, 310.43)	16	清除成功	1386.053 s
03:16:56	测量	(-636.12, 1012.37)	1	未检测到信号	1627.306 s
03:16:56	测量	(-636.12, 1012.37)	2	未检测到信号	1633.306 s
03:16:56	测量	(-636.12, 1012.37)	6	未检测到信号	1639.306 s
03:16:56	测量	(-636.12, 1012.37)	7	未检测到信号	1645.306 s
03:16:56	测量	(-636.12, 1012.37)	9	示向度 26.75°	1651.306 s
03:16:56	测量	(-636.12, 1012.37)	11	示向度 149.38°	1657.306 s
03:16:56	测量	(-636.12, 1012.37)	12	未检测到信号	1663.306 s
03:16:56	测量	(-636.12, 1012.37)	13	未检测到信号	1669.306 s
03:16:56	测量	(-636.12, 1012.37)	14	未检测到信号	1675.306 s
03:16:56	测量	(-636.12, 1012.37)	15	未检测到信号	1681.306 s
03:16:56	测量	(-636.12, 1012.37)	17	未检测到信号	1687.306 s
03:16:56	测量	(-636.12, 1012.37)	18	未检测到信号	1693.306 s
03:16:56	测量	(-636.12, 1012.37)	19	示向度 16.28°	1699.306 s
03:16:56	测量	(-869.58, 1099.06)	11	示向度 141.97°	1755.113 s
03:16:56	清除	(-1127.72, 1299.14)	11	清除成功	1825.433 s
03:16:56	测量	(-1127.72, 1299.14)	9	未检测到信号	1831.433 s
03:16:56	测量	(-1127.72, 1299.14)	19	示向度 347.33°	1837.433 s
03:16:56	清除	(-292.22, 1112.03)	19	清除成功	2013.673 s
03:16:56	测量	(-292.22, 1112.03)	9	示向度 32.47°	2019.673 s
03:16:56	测量	(301.14, 1392.14)	9	示向度 57.12°	2155.905 s
03:16:56	清除	(401.72, 1546.87)	9	清除成功	2197.812 s
03:16:56	测量	(557.21, 1148.78)	1	未检测到信号	2289.287 s
03:16:56	测量	(557.21, 1148.78)	2	示向度 329.44°	2295.287 s
03:16:56	测量	(557.21, 1148.78)	6	未检测到信号	2301.287 s
03:16:56	测量	(557.21, 1148.78)	7	未检测到信号	2307.287 s
03:16:56	测量	(557.21, 1148.78)	12	未检测到信号	2313.287 s
03:16:56	测量	(557.21, 1148.78)	13	未检测到信号	2319.287 s
03:16:56	测量	(557.21, 1148.78)	14	未检测到信号	2325.287 s
03:16:56	测量	(557.21, 1148.78)	15	未检测到信号	2331.287 s
03:16:56	测量	(557.21, 1148.78)	17	未检测到信号	2337.287 s
03:16:56	测量	(557.21, 1148.78)	18	未检测到信号	2343.287 s
03:16:56	测量	(963.26, 805.43)	2	示向度 341.54°	2455.638 s
03:16:56	测量	(1335.56, 651.11)	2	示向度 357.91°	2541.242 s
03:16:56	清除	(1424.44, 647.50)	2	清除成功	2564.032 s
03:16:56	测量	(1225.89, 74.68)	1	未检测到信号	2691.283 s
03:16:56	测量	(1225.89, 74.68)	6	未检测到信号	2697.283 s
03:16:56	测量	(1225.89, 74.68)	7	未检测到信号	2703.283 s
03:16:56	测量	(1225.89, 74.68)	12	未检测到信号	2709.283 s
03:16:56	测量	(1225.89, 74.68)	13	示向度 258.08°	2715.283 s
03:16:56	测量	(1225.89, 74.68)	14	未检测到信号	2721.283 s
03:16:56	测量	(1225.89, 74.68)	15	未检测到信号	2727.283 s
03:16:56	测量	(1225.89, 74.68)	17	未检测到信号	2733.283 s
03:16:56	测量	(1225.89, 74.68)	18	未检测到信号	2739.283 s
03:16:56	测量	(1027.66, -457.97)	13	示向度 295.78°	2858.950 s
03:16:56	清除	(1087.46, -582.69)	13	清除成功	2891.614 s
03:16:56	测量	(613.67, -1026.42)	1	未检测到信号	3027.441 s
03:16:56	测量	(613.67, -1026.42)	6	未检测到信号	3033.441 s
03:16:56	测量	(613.67, -1026.42)	7	未检测到信号	3039.441 s
03:16:56	测量	(613.67, -1026.42)	12	未检测到信号	3045.441 s
03:16:56	测量	(613.67, -1026.42)	14	未检测到信号	3051.441 s
03:16:56	测量	(613.67, -1026.42)	15	未检测到信号	3057.441 s
03:16:56	测量	(613.67, -1026.42)	17	未检测到信号	3063.441 s
03:16:56	测量	(613.67, -1026.42)	18	未检测到信号	3069.441 s
03:16:56	退出	--	--	正常退出	3069.441 s
