接收时间	指令	位置	频道	响应摘要	虚拟时间
04:58:40	进入	--	--	进入成功	0.000 s
04:58:40	测量	(0.00, 0.00)	1	示向度 359.42°	5.000 s
04:58:40	测量	(0.00, 0.00)	2	未检测到信号	11.000 s
04:58:40	测量	(0.00, 0.00)	3	示向度 305.93°	17.000 s
04:58:40	测量	(0.00, 0.00)	4	示向度 283.72°	23.000 s
04:58:40	测量	(0.00, 0.00)	5	示向度 290.65°	29.000 s
04:58:40	测量	(0.00, 0.00)	6	示向度 234.31°	35.000 s
04:58:40	测量	(0.00, 0.00)	7	示向度 348.24°	41.000 s
04:58:40	测量	(0.00, 0.00)	8	未检测到信号	47.000 s
04:58:40	测量	(0.00, 0.00)	9	未检测到信号	53.000 s
04:58:40	测量	(0.00, 0.00)	10	未检测到信号	59.000 s
04:58:40	测量	(0.00, 0.00)	11	未检测到信号	65.000 s
04:58:40	测量	(0.00, 0.00)	12	示向度 25.63°	71.000 s
04:58:40	测量	(0.00, 0.00)	13	未检测到信号	77.000 s
04:58:40	测量	(0.00, 0.00)	14	未检测到信号	83.000 s
04:58:40	测量	(0.00, 0.00)	15	未检测到信号	89.000 s
04:58:40	测量	(0.00, 0.00)	16	示向度 127.58°	95.000 s
04:58:40	测量	(0.00, 0.00)	17	未检测到信号	101.000 s
04:58:40	测量	(0.00, 0.00)	18	未检测到信号	107.000 s
04:58:40	测量	(0.00, 0.00)	19	未检测到信号	113.000 s
04:58:40	测量	(0.00, 0.00)	20	未检测到信号	119.000 s
04:58:40	测量	(421.01, 148.28)	20	未检测到信号	213.272 s
04:58:40	测量	(421.01, 148.28)	1	示向度 274.00°	219.272 s
04:58:40	测量	(421.01, 148.28)	2	未检测到信号	225.272 s
04:58:40	测量	(421.01, 148.28)	3	示向度 288.18°	231.272 s
04:58:40	测量	(421.01, 148.28)	4	示向度 258.95°	237.272 s
04:58:40	测量	(421.01, 148.28)	5	示向度 258.97°	243.272 s
04:58:40	测量	(421.01, 148.28)	6	示向度 216.53°	249.272 s
04:58:40	测量	(421.01, 148.28)	7	未检测到信号	255.272 s
04:58:40	测量	(421.01, 148.28)	8	未检测到信号	261.272 s
04:58:40	测量	(421.01, 148.28)	9	示向度 214.33°	267.272 s
04:58:40	测量	(421.01, 148.28)	10	未检测到信号	273.272 s
04:58:40	测量	(421.01, 148.28)	11	未检测到信号	279.272 s
04:58:40	测量	(421.01, 148.28)	12	示向度 29.34°	285.272 s
04:58:40	测量	(421.01, 148.28)	13	未检测到信号	291.272 s
04:58:40	测量	(421.01, 148.28)	14	未检测到信号	297.272 s
04:58:40	测量	(421.01, 148.28)	15	示向度 16.81°	303.272 s
04:58:40	测量	(421.01, 148.28)	16	示向度 155.55°	309.272 s
04:58:41	测量	(421.01, 148.28)	17	未检测到信号	315.272 s
04:58:41	测量	(421.01, 148.28)	18	未检测到信号	321.272 s
04:58:41	测量	(421.01, 148.28)	19	未检测到信号	327.272 s
04:58:41	测量	(1104.14, 193.68)	19	未检测到信号	469.199 s
04:58:41	测量	(1104.14, 193.68)	2	未检测到信号	475.199 s
04:58:41	测量	(1104.14, 193.68)	3	示向度 258.78°	481.199 s
04:58:41	测量	(1104.14, 193.68)	8	未检测到信号	487.199 s
04:58:41	测量	(1104.14, 193.68)	9	示向度 193.24°	493.199 s
04:58:41	测量	(1104.14, 193.68)	10	未检测到信号	499.199 s
04:58:41	测量	(1104.14, 193.68)	11	未检测到信号	505.199 s
04:58:41	测量	(1104.14, 193.68)	12	示向度 87.38°	511.199 s
04:58:41	测量	(1104.14, 193.68)	13	未检测到信号	517.199 s
04:58:41	测量	(1104.14, 193.68)	14	未检测到信号	523.199 s
04:58:41	测量	(1104.14, 193.68)	15	示向度 41.92°	529.199 s
04:58:41	测量	(1104.14, 193.68)	17	未检测到信号	535.199 s
04:58:41	测量	(1104.14, 193.68)	18	未检测到信号	541.199 s
04:58:41	测量	(1104.14, 193.68)	20	未检测到信号	547.199 s
04:58:41	测量	(621.55, -358.14)	20	未检测到信号	698.814 s
04:58:41	测量	(621.55, -358.14)	2	未检测到信号	704.814 s
04:58:41	测量	(621.55, -358.14)	4	示向度 233.80°	710.814 s
04:58:41	测量	(621.55, -358.14)	5	示向度 221.98°	716.814 s
04:58:41	测量	(621.55, -358.14)	6	示向度 180.57°	722.814 s
04:58:41	测量	(621.55, -358.14)	7	示向度 77.52°	728.814 s
04:58:41	测量	(621.55, -358.14)	8	未检测到信号	734.814 s
04:58:41	测量	(621.55, -358.14)	9	未检测到信号	740.814 s
04:58:41	测量	(621.55, -358.14)	10	未检测到信号	746.814 s
04:58:41	测量	(621.55, -358.14)	11	未检测到信号	752.814 s
04:58:41	测量	(621.55, -358.14)	13	未检测到信号	758.814 s
04:58:41	测量	(621.55, -358.14)	14	未检测到信号	764.814 s
04:58:41	测量	(621.55, -358.14)	17	未检测到信号	770.814 s
04:58:41	测量	(621.55, -358.14)	18	未检测到信号	776.814 s
04:58:41	测量	(621.55, -358.14)	19	未检测到信号	782.814 s
04:58:41	测量	(961.34, -692.96)	19	未检测到信号	883.221 s
04:58:41	测量	(961.34, -692.96)	2	未检测到信号	889.221 s
04:58:41	测量	(961.34, -692.96)	3	示向度 255.04°	895.221 s
04:58:41	测量	(961.34, -692.96)	4	示向度 195.71°	901.221 s
04:58:41	测量	(961.34, -692.96)	5	示向度 179.26°	907.221 s
04:58:41	测量	(961.34, -692.96)	8	未检测到信号	913.221 s
04:58:41	测量	(961.34, -692.96)	10	未检测到信号	919.221 s
04:58:41	测量	(961.34, -692.96)	11	未检测到信号	925.221 s
04:58:41	测量	(961.34, -692.96)	13	未检测到信号	931.221 s
04:58:41	测量	(961.34, -692.96)	14	未检测到信号	937.221 s
04:58:41	测量	(961.34, -692.96)	15	示向度 69.95°	943.221 s
04:58:41	测量	(961.34, -692.96)	17	未检测到信号	949.221 s
04:58:41	测量	(961.34, -692.96)	18	未检测到信号	955.221 s
04:58:41	测量	(961.34, -692.96)	20	未检测到信号	961.221 s
04:58:41	测量	(555.62, -925.80)	20	未检测到信号	1059.778 s
04:58:41	测量	(555.62, -925.80)	2	未检测到信号	1065.778 s
04:58:41	测量	(555.62, -925.80)	3	示向度 320.20°	1071.778 s
04:58:41	测量	(555.62, -925.80)	4	示向度 174.86°	1077.778 s
04:58:41	测量	(555.62, -925.80)	5	示向度 140.58°	1083.778 s
04:58:41	测量	(555.62, -925.80)	6	示向度 145.52°	1089.778 s
04:58:41	测量	(555.62, -925.80)	8	未检测到信号	1095.778 s
04:58:41	测量	(555.62, -925.80)	10	未检测到信号	1101.778 s
